Order ID,Order Date,Ship Date,Customer Id,Product id,Actual price,Discounted price,Sold price,Quantity,Bill Amount,
CA-2013-145583,2013-10-14,2013-10-20,78ac17Cc0E0b444,B07KRCW6LZ,"1,599",999,600,6.00,3600.00,
CA-2013-145583,2013-10-14,2013-10-20,aec5CeDc949143F,B09NJN8L25,199,59,140,14.00,1960.00,
CA-2014-106180,2014-09-19,2014-09-24,9Cfc61ebC5682F2,B07XJYYH7L,999,333,666,3.00,1998.00,
CA-2014-106180,2014-09-19,2014-09-24,cec5D53082Ba76C,B002PD61Y4,"1,208",507,701,3.00,2103.00,
CA-2014-106180,2014-09-19,2014-09-24,107A505E4ED6aCf,B014I8SSD0,475,309,166,3.00,498.00,
CA-2012-110744,2012-09-07,2012-09-12,EbEd31AB1596CA7,B09L8DSSFH,999,399,600,7.00,4200.00,
CA-2013-158834,2013-03-14,2013-03-17,A5Aef07bB307eaD,B07232M876,395,199,196,5.00,980.00,
CA-2013-158834,2013-03-14,2013-03-17,6cd647EbF5111c8,B07P681N66,"2,199","1,199",1000,2.00,2000.00,
CA-2012-124919,2012-05-31,2012-06-02,DA85ce14eDd49EB,B0711PVX6Z,500,179,321,7.00,2247.00,
CA-2012-124919,2012-05-31,2012-06-02,9d25749a97f74A8,B082T6V3DT,"2,100",799,1301,4.00,5204.00,
CA-2012-124919,2012-05-31,2012-06-02,19dB3E396bf4243,B07MKFNHKG,"12,999","6,999",6000,6.00,36000.00,
CA-2012-118948,2012-05-28,2012-06-03,cF4d1c32929Dada,B0BFWGBX61,349,199,150,3.00,450.00,
CA-2011-104269,2011-03-01,2011-03-06,EFba6C3ACF7b9dd,B01N90RZ4M,499,230,269,2.00,538.00,
CA-2013-162733,2013-05-12,2013-05-13,8Ce1Fb6D34F288b,B0088TKTY2,"1,399",649,750,1.00,750.00,
CA-2013-154508,2013-11-17,2013-11-21,f0bFeBE2EcC6E44,B09Q5SWVBJ,"21,999","15,999",6000,5.00,30000.00,
CA-2013-113817,2013-11-08,2013-11-12,9Ae0C63D66E0bFC,B0B4DT8MKT,"1,499",348,1151,2.00,2302.00,
CA-2011-118962,2011-08-05,2011-08-09,c927E6840FF4A0c,B08CDKQ8T6,349,154,195,3.00,585.00,
CA-2011-118962,2011-08-05,2011-08-09,Aab0fC31E4ad1BE,B07B275VN9,799,179,620,2.00,1240.00,
CA-2011-118962,2011-08-05,2011-08-09,7Ee6b3d96fFF18C,B0B15CPR37,"47,900","32,990",14910,7.00,104370.00,
CA-2011-123260,2011-08-26,2011-08-30,dBE9AD5da1dA286,B0994GFWBH,999,139,860,8.00,6880.00,
CA-2012-131457,2012-10-31,2012-11-06,E44e636cfE26CfB,B01GGKZ0V6,845,329,516,7.00,3612.00,
CA-2011-133690,2011-08-03,2011-08-05,a1bBBEBDfb3Fe3f,B09F9YQQ7B,"24,999","13,999",11000,2.00,22000.00,
CA-2011-133690,2011-08-03,2011-08-05,9E64AAAcC13A14b,B014I8SX4Y,"1,400",309,1091,1.00,1091.00,
CA-2014-108329,2014-12-10,2014-12-15,dAE25B64E0AbFC1,B09Q8HMKZX,699,263,436,4.00,1744.00,
CA-2013-130162,2013-10-29,2013-11-02,5F131a198B25fDD,B0B9XN9S3W,"14,990","7,999",6991,6.00,41946.00,
CA-2013-130162,2013-10-29,2013-11-02,6B9a7ADdad70dC2,B07966M8XH,"2,999","1,599",1400,3.00,4200.00,
CA-2014-160514,2014-11-13,2014-11-17,8A8BcAfeafff70D,B01GGKYKQM,700,219,481,2.00,962.00,
CA-2013-154739,2013-12-11,2013-12-16,3DcCaBb218383a6,B0B86CDHL1,899,349,550,2.00,1100.00,
CA-2013-145625,2013-09-12,2013-09-18,67ECBda6a4CA8f4,B0B5ZF3NRK,599,349,250,1.00,250.00,
CA-2013-145625,2013-09-12,2013-09-18,731C1AB0cAF588b,B09RFC46VP,"42,999","26,999",16000,13.00,208000.00,
CA-2012-155040,2012-11-10,2012-11-15,F9fD297E42BC6E6,B08R69VDHT,499,115,384,2.00,768.00,
CA-2014-163979,2014-12-29,2015-01-03,3e3eB4c40Ee3B2a,B09RWZRCP1,999,399,600,4.00,2400.00,
CA-2012-155334,2012-07-30,2012-07-31,2Ebd3393bFcCB80,B09CMP1SC8,499,199,300,7.00,2100.00,
CA-2012-155334,2012-07-30,2012-07-31,e600788c3dC0b57,B09YLXYP7Y,399,179,220,3.00,660.00,
CA-2012-155334,2012-07-30,2012-07-31,bE341222cAfC4cF,B09ZPM4C2C,"30,990","10,901",20089,3.00,60267.00,
CA-2014-118136,2014-09-17,2014-09-18,F8d6Ecac4bfAaB5,B0B2DJDCPX,499,209,290,2.00,580.00,
CA-2014-118136,2014-09-17,2014-09-18,c2de20A4fAf68fe,B0BCZCQTJX,"3,999","1,434",2565,1.00,2565.00,
CA-2012-130890,2012-11-02,2012-11-06,7E28aDB65b9D6Db,B07LGT55SJ,"1,099",399,700,5.00,3500.00,
CA-2012-130883,2012-09-26,2012-10-02,97Bc909c7909956,B09NKZXMWJ,249,139,110,5.00,550.00,
CA-2012-130883,2012-09-26,2012-10-02,50de05ec05bECd4,B08QX1CC14,"19,125","7,299",11826,5.00,59130.00,
CA-2012-130883,2012-09-26,2012-10-02,1E0a4D06c687Fab,B0974H97TJ,799,299,500,6.00,3000.00,
CA-2011-111451,2011-12-26,2011-12-28,c4781c7C9ef04BC,B07GVGTSLN,"1,299",325,974,8.00,7792.00,
CA-2011-111451,2011-12-26,2011-12-28,d7EdAC9469e30F8,B09VCHLSJF,"39,999","29,999",10000,3.00,30000.00,
CA-2011-111451,2011-12-26,2011-12-28,c90Ab5BA65aCDbB,B0B1YZX72F,"40,990","27,999",12991,3.00,38973.00,
CA-2011-111451,2011-12-26,2011-12-28,C1DBc8d4CB9b8F2,B092BJMT8Q,"52,900","30,990",21910,5.00,109550.00,
CA-2011-111451,2011-12-26,2011-12-28,9ACDAbEa46b9cBB,B0BMXMLSMM,999,199,800,3.00,2400.00,
CA-2013-142902,2013-09-13,2013-09-15,FebD11a0a4f3BE1,B07JH1C41D,"1,999",649,1350,4.00,5400.00,
CA-2013-142902,2013-09-13,2013-09-15,19B48e08DadC372,B0141EZMAI,800,269,531,2.00,1062.00,
CA-2013-142902,2013-09-13,2013-09-15,92bFddD0C16C99c,B09Q5P2MT3,"31,999","24,999",7000,1.00,7000.00,
CA-2013-142902,2013-09-13,2013-09-15,1C6be3affF9cCFe,B08HDH26JX,699,299,400,3.00,1200.00,
CA-2011-156601,2011-09-19,2011-09-24,C9c35E6F9A125CE,B09VT6JKRP,999,199,800,2.00,1600.00,
CA-2013-162138,2013-04-24,2013-04-28,A57f47CEF3827Bd,B09T3KB6JZ,"40,990","18,990",22000,6.00,132000.00,
CA-2013-162138,2013-04-24,2013-04-28,0CEEec4Cf248929,B093QCY6YJ,349,290,59,1.00,59.00,
CA-2012-137946,2012-09-01,2012-09-04,BE352a8cB4F8d86,B093ZNQZ2Y,799,249,550,1.00,550.00,
CA-2012-137946,2012-09-01,2012-09-04,FDC43e3cf566Cc8,B08LKS3LSP,999,345,654,2.00,1308.00,
CA-2012-137946,2012-09-01,2012-09-04,Fd126e2a424Bbbc,B00V4BGDKU,"1,899","1,099",800,4.00,3200.00,
CA-2011-129924,2011-07-12,2011-07-17,6BC3beeFbfdacbe,B08CHKQ8D4,"1,499",719,780,2.00,1560.00,
CA-2011-129924,2011-07-12,2011-07-17,4bBddAD537F3Cf0,B09BW334ML,"1,499",349,1150,3.00,3450.00,
CA-2012-128167,2012-06-22,2012-06-26,acdFD08C5cBA6CA,B082T6GVLJ,"1,809",849,960,4.00,3840.00,
CA-2014-169901,2014-06-16,2014-06-20,86DA46fCE9ebeB8,B07DL1KC3H,899,299,600,3.00,1800.00,
CA-2011-123344,2011-09-24,2011-09-29,EecDfbaadAfe0DD,B0B6F98KJJ,"29,999","21,999",8000,4.00,32000.00,
US-2011-119137,2011-07-23,2011-07-27,1aD2deA0fde50BA,B07JNVF678,999,349,650,5.00,3250.00,
US-2011-119137,2011-07-23,2011-07-27,CBcfFC286FDc461,B09QGZFBPM,999,399,600,8.00,4800.00,
US-2011-119137,2011-07-23,2011-07-27,78BAC1f42DD76d8,B07JGDB5M1,"1,299",449,850,1.00,850.00,
US-2011-119137,2011-07-23,2011-07-27,d1E90edB3230E6e,B0981XSZJ7,999,299,700,10.00,7000.00,
CA-2013-134775,2013-10-29,2013-10-30,2aeB0fAF9Fd1A2A,B0B9XLX8VR,"65,000","37,999",27001,7.00,189007.00,
CA-2013-134775,2013-10-29,2013-10-30,a21Ce6067cD633E,B08Y5KXR6Z,800,99,701,3.00,2103.00,
US-2011-135972,2011-09-21,2011-09-23,ace763c03c1eED8,B09F6VHQXB,"20,000","7,390",12610,2.00,25220.00,
US-2011-135972,2011-09-21,2011-09-23,f29E3D8ec3aFda0,B0974G5Q2Y,999,273.1,725.9,3.00,2177.70,
CA-2014-102946,2014-07-01,2014-07-06,CdDB5Bcb91A60e7,B09YL9SN9B,"23,990","15,990",8000,3.00,24000.00,
CA-2014-117457,2014-12-09,2014-12-13,a333dB8F2cf884A,B09RX1FK54,999,399,600,5.00,3000.00,
CA-2014-117457,2014-12-09,2014-12-13,46FFb5Bf67A6EcE,B09TT6BFDX,"1,999",399,1600,3.00,4800.00,
CA-2014-117457,2014-12-09,2014-12-13,9aB46f1DeA40bCD,B09KH58JZR,399,210,189,5.00,945.00,
CA-2014-117457,2014-12-09,2014-12-13,2e15e6Ea65AAcC3,B09DDCQFMT,"1,999","1,299",700,7.00,4900.00,
CA-2014-117457,2014-12-09,2014-12-13,9Df04dcEec38175,B08RP2L2NL,999,347,652,1.00,652.00,
CA-2014-117457,2014-12-09,2014-12-13,ddEe60B8e39AF8d,B0B4G2MWSB,999,149,850,9.00,7650.00,
CA-2014-117457,2014-12-09,2014-12-13,B5C977deC68EdCd,B0B21C4BMX,899,228,671,1.00,671.00,
CA-2014-117457,2014-12-09,2014-12-13,6ae3C4A2f3D7023,B084MZXJNK,"1,999","1,599",400,13.00,5200.00,
CA-2014-117457,2014-12-09,2014-12-13,Fe7Fd8EfebF2Fd2,B0BHZCNC4P,"3,999","1,499",2500,2.00,5000.00,
CA-2014-142636,2014-11-04,2014-11-08,70ace5bad5Ce2a7,B0B16KD737,"15,999","8,499",7500,7.00,52500.00,
CA-2014-142636,2014-11-04,2014-11-08,4f8C01FDceBcd23,B099K9ZX65,"44,990","20,990",24000,4.00,96000.00,
CA-2014-122105,2014-06-25,2014-06-29,25CFb6d4DF3aA87,B08Y55LPBF,"44,999","32,999",12000,8.00,96000.00,
CA-2013-148796,2013-04-15,2013-04-19,C795d33EFa0E2F1,B015OW3M1W,"1,700",799,901,5.00,4505.00,
CA-2014-110478,2014-03-05,2014-03-10,83Beee4A53fBa66,B01D5H8ZI8,595,229,366,4.00,1464.00,
CA-2014-110478,2014-03-05,2014-03-10,c25C9c8F6FeCBa4,B09X1M3DHX,"27,990","9,999",17991,1.00,17991.00,
CA-2011-142048,2011-06-22,2011-06-25,9a0BDf9cEf1f76d,B09MM6P76N,599,349,250,6.00,1500.00,
US-2011-110674,2011-02-13,2011-02-19,A279b43D552Aa2E,B01D5H8LDM,"1,200",489,711,2.00,1422.00,
CA-2012-109638,2012-12-15,2012-12-22,Db3e47FaFdBE7Ba,B0B1YY6JJL,"34,990","23,999",10991,4.00,43964.00,
CA-2012-109638,2012-12-15,2012-12-22,aEFdfb74fd3C89d,B09QGZM8QB,999,399,600,9.00,5400.00,
CA-2012-109638,2012-12-15,2012-12-22,d9eaffba5a14dB2,B08L4SBJRY,"1,299",349,950,3.00,2850.00,
CA-2013-109869,2013-04-23,2013-04-30,8efE4D4084590A0,B09X79PP8F,299,179,120,5.00,600.00,
CA-2013-109869,2013-04-23,2013-04-30,42CfACE21f9eb63,B082T6GVG9,"1,500",689,811,6.00,4866.00,
CA-2013-109869,2013-04-23,2013-04-30,Feab72ebad6BEC9,B0B3XY5YT4,"49,990","30,990",19000,5.00,95000.00,
CA-2013-109869,2013-04-23,2013-04-30,d6d5afF530F829c,B0B4HKH19N,931,249,682,2.00,1364.00,
CA-2013-109869,2013-04-23,2013-04-30,EcF859343EEBaB7,B08TGG316Z,"2,399",999,1400,2.00,2800.00,
CA-2011-144666,2011-11-09,2011-11-11,b07c2Dc76d5b32C,B071VMP1Z4,399,399,0,3.00,0.00,
CA-2011-144666,2011-11-09,2011-11-11,C18a4Fbe5D008f6,B071SDRGWL,699,349,350,2.00,700.00,
CA-2011-144666,2011-11-09,2011-11-11,ABDfB9aE6FE5Bbf,B08PSQRW2T,"1,099",399,700,4.00,2800.00,
CA-2011-144666,2011-11-09,2011-11-11,1fDA21A6f3c75b4,B0859M539M,"2,999","1,699",1300,6.00,7800.00,
CA-2011-144666,2011-11-09,2011-11-11,eb8194eBCd83BAb,B08RX8G496,"1,099",655,444,7.00,3108.00,
CA-2011-144666,2011-11-09,2011-11-11,BF617C9AFb4Ce07,B002SZEOLG,"1,339",749,590,5.00,2950.00,
CA-2013-103891,2013-07-13,2013-07-20,7f371E09D0d2df7,B08CS3BT4L,"12,999","9,999",3000,6.00,18000.00,
CA-2011-134677,2011-10-06,2011-10-10,DADE73d661aac56,B00RFWNJMC,499,195,304,3.00,912.00,
CA-2014-140963,2014-06-11,2014-06-14,eDaAFa8fE2aE31c,B082T6GXS5,"2,100",999,1101,2.00,2202.00,
CA-2014-140963,2014-06-11,2014-06-14,dafD9b63FCD6BBA,B09CMQRQM6,899,499,400,5.00,2000.00,
CA-2014-140963,2014-06-11,2014-06-14,dbaD3607b79a93c,B005LJQMCK,599,416,183,5.00,915.00,
CA-2013-169166,2013-05-10,2013-05-15,BB1BbBBcaF99F74,B09C6H53KH,699,368,331,2.00,662.00,
CA-2013-126158,2013-07-26,2013-08-01,7022d84c9cBc309,B0BB3CBFBM,"65,000","29,990",35010,8.00,280080.00,
CA-2013-126158,2013-07-26,2013-08-01,6848680a9f76021,B08QSDKFGQ,"1,099",339,760,4.00,3040.00,
CA-2013-126158,2013-07-26,2013-08-01,E5e903Eb61ECcef,B08PV1X771,"20,900","15,490",5410,2.00,10820.00,
CA-2013-126158,2013-07-26,2013-08-01,AF302C6b37e6dBd,B07YTNKVJQ,"1,299",499,800,9.00,7200.00,
US-2013-105578,2013-05-31,2013-06-05,bd7Da4B82F28279,B0117H7GZ6,399,249,150,2.00,300.00,
US-2013-105578,2013-05-31,2013-06-05,4C657EFbce24508,B09XJ1LM7R,799,399,400,2.00,800.00,
US-2013-105578,2013-05-31,2013-06-05,9BE9eDbE566ECBF,B084N133Y7,"1,999","1,499",500,2.00,1000.00,
US-2013-105578,2013-05-31,2013-06-05,1F7cF53c7ebFc3D,B088Z1YWBC,"15,990","9,490",6500,3.00,19500.00,
US-2013-105578,2013-05-31,2013-06-05,FE5Ee2dEeE4cE28,B07VSG5SXZ,"1,499",637,862,1.00,862.00,
CA-2014-163405,2014-12-22,2014-12-26,85A35A4B7C5aCcA,B08RWCZ6SY,899,399,500,3.00,1500.00,
CA-2014-163405,2014-12-22,2014-12-26,4BFCa3aef3F58AB,B07KSB1MLX,"1,600","1,089",511,2.00,1022.00,
CA-2014-127432,2014-01-23,2014-01-28,cB5bF4B1e78Ecda,B081FG1QYX,999,339,660,5.00,3300.00,
CA-2014-127432,2014-01-23,2014-01-28,AD11aee28Ecc768,B08R69WBN7,499,149,350,3.00,1050.00,
CA-2014-127432,2014-01-23,2014-01-28,aE4B7E7a93Bd19d,B0B3RHX6B6,399,149,250,2.00,500.00,
CA-2014-127432,2014-01-23,2014-01-28,Dfe8e5318F1de42,B084N18QZY,849,599,250,3.00,750.00,
US-2013-139486,2013-05-22,2013-05-24,8dBF4A43b2a4fA2,B081NHWT6Z,"1,199",299,900,3.00,2700.00,
US-2013-139486,2013-05-22,2013-05-24,aCF2Cb91eCB8508,B07JPJJZ2H,"1,299",399,900,2.00,1800.00,
CA-2012-102848,2012-11-07,2012-11-09,185BBB7e52feEDA,B09JKNF147,"1,999",339,1660,1.00,1660.00,
US-2014-129441,2014-09-08,2014-09-12,659874894840d78,B0B9959XF3,"22,990","12,499",10491,3.00,31473.00,
CA-2013-126613,2013-07-11,2013-07-17,94a7dD4Da913FBa,B09PNR6F8Q,399,249,150,2.00,300.00,
CA-2013-136924,2013-07-15,2013-07-18,68fbb98f6EbD971,B07M69276N,"2,499","1,399",1100,8.00,8800.00,
CA-2013-136406,2013-04-16,2013-04-18,E3Be47B2Bc0fb08,B0B1YZ9CB8,"47,990","32,999",14991,2.00,29982.00,
CA-2014-100650,2014-06-30,2014-07-04,5a3Ed08524aA9CA,B09YLYB9PB,399,149,250,2.00,500.00,
CA-2013-113243,2013-06-11,2013-06-16,8Eb623320c4D45b,B08CTNJ985,999,325,674,2.00,1348.00,
CA-2013-113243,2013-06-11,2013-06-16,550c41F8764B16E,B0BP7XLX48,"1,999",399,1600,4.00,6400.00,
CA-2013-113243,2013-06-11,2013-06-16,acE14807eD40972,B09LHXNZLR,499,199,300,5.00,1500.00,
CA-2014-118731,2014-11-21,2014-11-23,3af3B3a4ddFB28E,B0B3N8VG24,299,88,211,3.00,633.00,
CA-2014-118731,2014-11-21,2014-11-23,aFeB020b9a24cb4,B08PSVBB2X,"1,099",399,700,7.00,4900.00,
CA-2012-130736,2012-12-07,2012-12-09,CEe46Ca6cB6D3e9,B0B3MQXNFB,199,57.89,141.11,2.00,282.22,
CA-2012-130736,2012-12-07,2012-12-09,cd1D0d3ABf09FBA,B08XMSKKMM,"1,999",799,1200,1.00,1200.00,
CA-2014-137099,2014-12-08,2014-12-11,d0813Ac7Ece4c58,B09L8DT7D6,499,205,294,3.00,882.00,
CA-2014-156951,2014-10-02,2014-10-09,BceA40c37Afe437,B00GE55L22,699,299,400,8.00,3200.00,
CA-2014-156951,2014-10-02,2014-10-09,Ce1956ED0Bd72B5,B0162K34H2,999,849,150,7.00,1050.00,
CA-2014-156951,2014-10-02,2014-10-09,Bc9Cda3AAEED2DA,B0B8SRZ5SV,"1,999",949,1050,3.00,3150.00,
CA-2014-156951,2014-10-02,2014-10-09,df6Beba6f80EAAf,B07CWNJLPC,"1,200",499,701,3.00,2103.00,
CA-2013-127250,2013-11-04,2013-11-08,Eb17cE4feEb0100,B00NH12R1O,485,299,186,3.00,558.00,
CA-2012-149713,2012-09-18,2012-09-22,D40eba5Dc71C4E5,B0B8SSC5D9,"1,999",949,1050,14.00,14700.00,
CA-2012-149713,2012-09-18,2012-09-22,C7C79d8D3CF7Eac,B08WKG2MWT,"1,099",379,720,4.00,2880.00,
CA-2012-149713,2012-09-18,2012-09-22,B34Ec6B249b67E8,B0B466C3G4,"18,990","8,990",10000,2.00,20000.00,
CA-2012-132906,2012-09-10,2012-09-14,2BE9Fdcb52eCEFB,B005LJQMZC,"1,999",486,1513,4.00,6052.00,
CA-2014-145233,2014-12-02,2014-12-06,7A06684bC0bfbFa,B07MDRGHWQ,"11,000","5,699",5301,3.00,15903.00,
CA-2014-145233,2014-12-02,2014-12-06,FADa2dff9E8f3bC,B07DC4RZPY,"1,999",709,1290,2.00,2580.00,
CA-2014-145233,2014-12-02,2014-12-06,CDae9E7C2dA5E96,B0B15GSPQW,"70,900","47,990",22910,3.00,68730.00,
CA-2014-145233,2014-12-02,2014-12-06,fCF027f2A34FdBE,B08GJNM9N7,"1,199",299,900,7.00,6300.00,
CA-2014-145233,2014-12-02,2014-12-06,eb18D93CB584Db7,B09C6FML9B,599,320,279,4.00,1116.00,
US-2013-156986,2013-03-21,2013-03-25,0aEdFcbdb76637c,B0B65MJ45G,549,139,410,2.00,820.00,
US-2013-156986,2013-03-21,2013-03-25,d20d428FA81a2Eb,B08P9RYPLR,249,129,120,4.00,480.00,
US-2013-156986,2013-03-21,2013-03-25,feFBbFbF14FDaaf,B0B6F8HHR6,"35,999","24,999",11000,3.00,33000.00,
US-2013-156986,2013-03-21,2013-03-25,Ad89CaCdfDbCEbd,B084MZXJN6,"1,699",999,700,2.00,1400.00,
CA-2011-131450,2011-08-08,2011-08-15,248DFBD21eC1f73,B08XMG618K,499,225,274,2.00,548.00,
CA-2011-131450,2011-08-08,2011-08-15,9Dd0d01641fBcbD,B0BCKWZ884,"2,999",547,2452,3.00,7356.00,
CA-2011-131450,2011-08-08,2011-08-15,5CFcaDEd4df2DaA,B00GGGOYEK,699,259,440,5.00,2200.00,
CA-2011-131450,2011-08-08,2011-08-15,F97f1ffBF7eD33E,B07ZR4S1G4,699,239,460,8.00,3680.00,
CA-2014-153787,2014-05-20,2014-05-24,b7beEa7fDE4eBb9,B09C635BMM,999,349,650,2.00,1300.00,
CA-2014-133431,2014-12-18,2014-12-22,64ceeEf0e281709,B00GG59HU2,599,467,132,5.00,660.00,
CA-2014-133431,2014-12-18,2014-12-22,Fd09AA3c0E32cCf,B00RGLI0ZS,599,449,150,3.00,450.00,
US-2013-135720,2013-12-12,2013-12-14,2eDB9DDDadDaAEd,B09ZPJT8B2,"31,990","11,990",20000,3.00,60000.00,
US-2013-135720,2013-12-12,2013-12-14,dA23dA7eb28CCA9,B07HZ2QCGR,599,350,249,5.00,1245.00,
US-2013-135720,2013-12-12,2013-12-14,B57341aCDf23155,B095244Q22,999,252,747,4.00,2988.00,
US-2013-123470,2013-08-16,2013-08-22,8Cc44Fae8a4D395,B08CKW1KH9,599,204,395,3.00,1185.00,
US-2013-123470,2013-08-16,2013-08-22,db4CBcbFfC2DBfa,B0BLV1GNLN,"9,990","6,490",3500,3.00,10500.00,
CA-2013-115917,2013-05-21,2013-05-26,1F1De1fC57E91Dc,B08RHPDNVV,599,235,364,5.00,1820.00,
CA-2013-115917,2013-05-21,2013-05-26,A7eC3D7DAC0fbee,B00NH13Q8W,800,299,501,4.00,2004.00,
CA-2014-167913,2014-07-31,2014-08-04,7DD7cBb39d06a80,B0B8SSZ76F,"1,999",799,1200,2.00,2400.00,
CA-2014-167913,2014-07-31,2014-08-04,31C0ADfa5F40c40,B0841KQR1Z,999,299,700,7.00,4900.00,
CA-2013-103947,2013-04-02,2013-04-09,B75cA9DF92eAfAf,B0B467CCB9,"16,990","6,999",9991,5.00,49955.00,
