date_SK,date_ID,full_date,day,Month,month_name,Year,Quarter,Season,Is_Weekend,Season
20240213,44,2/13/2024,13,2,February,2024,1,Winter,No,Winter
20240214,45,2/14/2024,14,2,February,2024,1,Winter,No,Winter
20240215,46,2/15/2024,15,2,February,2024,1,Winter,No,Winter
20240216,47,2/16/2024,16,2,February,2024,1,Winter,No,Winter
20240217,48,2/17/2024,17,2,February,2024,1,Winter,Yes,Winter
20240218,49,2/18/2024,18,2,February,2024,1,Winter,Yes,Winter
20240219,50,2/19/2024,19,2,February,2024,1,Winter,No,Winter
20240220,51,2/20/2024,20,2,February,2024,1,Winter,No,Winter
20240221,52,2/21/2024,21,2,February,2024,1,Winter,No,Winter
20240222,53,2/22/2024,22,2,February,2024,1,Winter,No,Winter
20240223,54,2/23/2024,23,2,February,2024,1,Winter,No,Winter
20240224,55,2/24/2024,24,2,February,2024,1,Winter,Yes,Winter
20240225,56,2/25/2024,25,2,February,2024,1,Winter,Yes,Winter
20240226,57,2/26/2024,26,2,February,2024,1,Winter,No,Winter
20240227,58,2/27/2024,27,2,February,2024,1,Winter,No,Winter
20240228,59,2/28/2024,28,2,February,2024,1,Winter,No,Winter
20240229,60,2/29/2024,29,2,February,2024,1,Winter,No,Winter
20240301,61,3/1/2024,1,3,March,2024,1,Spring,No,Spring
20240302,62,3/2/2024,2,3,March,2024,1,Spring,Yes,Spring
20240303,63,3/3/2024,3,3,March,2024,1,Spring,Yes,Spring
20240304,64,3/4/2024,4,3,March,2024,1,Spring,No,Spring
20240305,65,3/5/2024,5,3,March,2024,1,Spring,No,Spring
20240306,66,3/6/2024,6,3,March,2024,1,Spring,No,Spring
20240307,67,3/7/2024,7,3,March,2024,1,Spring,No,Spring
20240308,68,3/8/2024,8,3,March,2024,1,Spring,No,Spring
20240309,69,3/9/2024,9,3,March,2024,1,Spring,Yes,Spring
20240310,70,3/10/2024,10,3,March,2024,1,Spring,Yes,Spring
20240311,71,3/11/2024,11,3,March,2024,1,Spring,No,Spring
20240312,72,3/12/2024,12,3,March,2024,1,Spring,No,Spring
20240313,73,3/13/2024,13,3,March,2024,1,Spring,No,Spring
20240314,74,3/14/2024,14,3,March,2024,1,Spring,No,Spring
20240315,75,3/15/2024,15,3,March,2024,1,Spring,No,Spring
20240316,76,3/16/2024,16,3,March,2024,1,Spring,Yes,Spring
20240317,77,3/17/2024,17,3,March,2024,1,Spring,Yes,Spring
20240318,78,3/18/2024,18,3,March,2024,1,Spring,No,Spring
20240319,79,3/19/2024,19,3,March,2024,1,Spring,No,Spring
20240320,80,3/20/2024,20,3,March,2024,1,Spring,No,Spring
20240321,81,3/21/2024,21,3,March,2024,1,Spring,No,Spring
20240322,82,3/22/2024,22,3,March,2024,1,Spring,No,Spring
20240323,83,3/23/2024,23,3,March,2024,1,Spring,Yes,Spring
20240324,84,3/24/2024,24,3,March,2024,1,Spring,Yes,Spring
20240325,85,3/25/2024,25,3,March,2024,1,Spring,No,Spring
20240326,86,3/26/2024,26,3,March,2024,1,Spring,No,Spring
20240327,87,3/27/2024,27,3,March,2024,1,Spring,No,Spring
20240328,88,3/28/2024,28,3,March,2024,1,Spring,No,Spring
20240329,89,3/29/2024,29,3,March,2024,1,Spring,No,Spring
20240330,90,3/30/2024,30,3,March,2024,1,Spring,Yes,Spring
20240331,91,3/31/2024,31,3,March,2024,1,Spring,Yes,Spring
20240401,92,4/1/2024,1,4,April,2024,2,Spring,No,Spring
20240402,93,4/2/2024,2,4,April,2024,2,Spring,No,Spring
20240403,94,4/3/2024,3,4,April,2024,2,Spring,No,Spring
20240404,95,4/4/2024,4,4,April,2024,2,Spring,No,Spring
20240405,96,4/5/2024,5,4,April,2024,2,Spring,No,Spring
20240406,97,4/6/2024,6,4,April,2024,2,Spring,Yes,Spring
20240407,98,4/7/2024,7,4,April,2024,2,Spring,Yes,Spring
20240408,99,4/8/2024,8,4,April,2024,2,Spring,No,Spring
20240409,100,4/9/2024,9,4,April,2024,2,Spring,No,Spring
20240410,101,4/10/2024,10,4,April,2024,2,Spring,No,Spring
20240411,102,4/11/2024,11,4,April,2024,2,Spring,No,Spring
20240412,103,4/12/2024,12,4,April,2024,2,Spring,No,Spring
20240413,104,4/13/2024,13,4,April,2024,2,Spring,Yes,Spring
20240414,105,4/14/2024,14,4,April,2024,2,Spring,Yes,Spring
20240415,106,4/15/2024,15,4,April,2024,2,Spring,No,Spring
20240416,107,4/16/2024,16,4,April,2024,2,Spring,No,Spring
20240417,108,4/17/2024,17,4,April,2024,2,Spring,No,Spring
20240418,109,4/18/2024,18,4,April,2024,2,Spring,No,Spring
20240419,110,4/19/2024,19,4,April,2024,2,Spring,No,Spring
20240420,111,4/20/2024,20,4,April,2024,2,Spring,Yes,Spring
20240421,112,4/21/2024,21,4,April,2024,2,Spring,Yes,Spring
20240422,113,4/22/2024,22,4,April,2024,2,Spring,No,Spring
20240423,114,4/23/2024,23,4,April,2024,2,Spring,No,Spring
20240424,115,4/24/2024,24,4,April,2024,2,Spring,No,Spring
20240425,116,4/25/2024,25,4,April,2024,2,Spring,No,Spring
20240426,117,4/26/2024,26,4,April,2024,2,Spring,No,Spring
20240427,118,4/27/2024,27,4,April,2024,2,Spring,Yes,Spring
20240428,119,4/28/2024,28,4,April,2024,2,Spring,Yes,Spring
20240429,120,4/29/2024,29,4,April,2024,2,Spring,No,Spring
20240430,121,4/30/2024,30,4,April,2024,2,Spring,No,Spring
20240501,122,5/1/2024,1,5,May,2024,2,Spring,No,Spring
20240502,123,5/2/2024,2,5,May,2024,2,Spring,No,Spring
20240503,124,5/3/2024,3,5,May,2024,2,Spring,No,Spring
20240504,125,5/4/2024,4,5,May,2024,2,Spring,Yes,Spring
20240505,126,5/5/2024,5,5,May,2024,2,Spring,Yes,Spring
20240506,127,5/6/2024,6,5,May,2024,2,Spring,No,Spring
20240507,128,5/7/2024,7,5,May,2024,2,Spring,No,Spring
20240508,129,5/8/2024,8,5,May,2024,2,Spring,No,Spring
20240509,130,5/9/2024,9,5,May,2024,2,Spring,No,Spring
20240510,131,5/10/2024,10,5,May,2024,2,Spring,No,Spring
20240511,132,5/11/2024,11,5,May,2024,2,Spring,Yes,Spring
20240512,133,5/12/2024,12,5,May,2024,2,Spring,Yes,Spring
20240513,134,5/13/2024,13,5,May,2024,2,Spring,No,Spring
20240514,135,5/14/2024,14,5,May,2024,2,Spring,No,Spring
20240515,136,5/15/2024,15,5,May,2024,2,Spring,No,Spring
20240516,137,5/16/2024,16,5,May,2024,2,Spring,No,Spring
20240517,138,5/17/2024,17,5,May,2024,2,Spring,No,Spring
20240518,139,5/18/2024,18,5,May,2024,2,Spring,Yes,Spring
20240519,140,5/19/2024,19,5,May,2024,2,Spring,Yes,Spring
20240520,141,5/20/2024,20,5,May,2024,2,Spring,No,Spring
20240521,142,5/21/2024,21,5,May,2024,2,Spring,No,Spring
20240522,143,5/22/2024,22,5,May,2024,2,Spring,No,Spring
20240523,144,5/23/2024,23,5,May,2024,2,Spring,No,Spring
20240524,145,5/24/2024,24,5,May,2024,2,Spring,No,Spring
20240525,146,5/25/2024,25,5,May,2024,2,Spring,Yes,Spring
20240526,147,5/26/2024,26,5,May,2024,2,Spring,Yes,Spring
20240527,148,5/27/2024,27,5,May,2024,2,Spring,No,Spring
20240528,149,5/28/2024,28,5,May,2024,2,Spring,No,Spring
20240529,150,5/29/2024,29,5,May,2024,2,Spring,No,Spring
20240530,151,5/30/2024,30,5,May,2024,2,Spring,No,Spring
20240531,152,5/31/2024,31,5,May,2024,2,Spring,No,Spring
20240601,153,6/1/2024,1,6,June,2024,2,Summer,Yes,Summer
20240602,154,6/2/2024,2,6,June,2024,2,Summer,Yes,Summer
20240603,155,6/3/2024,3,6,June,2024,2,Summer,No,Summer
20240604,156,6/4/2024,4,6,June,2024,2,Summer,No,Summer
20240605,157,6/5/2024,5,6,June,2024,2,Summer,No,Summer
20240606,158,6/6/2024,6,6,June,2024,2,Summer,No,Summer
20240607,159,6/7/2024,7,6,June,2024,2,Summer,No,Summer
20240608,160,6/8/2024,8,6,June,2024,2,Summer,Yes,Summer
20240609,161,6/9/2024,9,6,June,2024,2,Summer,Yes,Summer
20240610,162,6/10/2024,10,6,June,2024,2,Summer,No,Summer
20240611,163,6/11/2024,11,6,June,2024,2,Summer,No,Summer
20240612,164,6/12/2024,12,6,June,2024,2,Summer,No,Summer
20240613,165,6/13/2024,13,6,June,2024,2,Summer,No,Summer
20240614,166,6/14/2024,14,6,June,2024,2,Summer,No,Summer
20240615,167,6/15/2024,15,6,June,2024,2,Summer,Yes,Summer
20240616,168,6/16/2024,16,6,June,2024,2,Summer,Yes,Summer
20240617,169,6/17/2024,17,6,June,2024,2,Summer,No,Summer
20240618,170,6/18/2024,18,6,June,2024,2,Summer,No,Summer
20240619,171,6/19/2024,19,6,June,2024,2,Summer,No,Summer
20240620,172,6/20/2024,20,6,June,2024,2,Summer,No,Summer
20240621,173,6/21/2024,21,6,June,2024,2,Summer,No,Summer
20240622,174,6/22/2024,22,6,June,2024,2,Summer,Yes,Summer
20240623,175,6/23/2024,23,6,June,2024,2,Summer,Yes,Summer
20240624,176,6/24/2024,24,6,June,2024,2,Summer,No,Summer
20240625,177,6/25/2024,25,6,June,2024,2,Summer,No,Summer
20240626,178,6/26/2024,26,6,June,2024,2,Summer,No,Summer
20240627,179,6/27/2024,27,6,June,2024,2,Summer,No,Summer
20240628,180,6/28/2024,28,6,June,2024,2,Summer,No,Summer
20240629,181,6/29/2024,29,6,June,2024,2,Summer,Yes,Summer
20240630,182,6/30/2024,30,6,June,2024,2,Summer,Yes,Summer
20240701,183,7/1/2024,1,7,July,2024,3,Summer,No,Summer
20240702,184,7/2/2024,2,7,July,2024,3,Summer,No,Summer
20240703,185,7/3/2024,3,7,July,2024,3,Summer,No,Summer
20240704,186,7/4/2024,4,7,July,2024,3,Summer,No,Summer
20240705,187,7/5/2024,5,7,July,2024,3,Summer,No,Summer
20240706,188,7/6/2024,6,7,July,2024,3,Summer,Yes,Summer
20240707,189,7/7/2024,7,7,July,2024,3,Summer,Yes,Summer
20240708,190,7/8/2024,8,7,July,2024,3,Summer,No,Summer
20240709,191,7/9/2024,9,7,July,2024,3,Summer,No,Summer
20240710,192,7/10/2024,10,7,July,2024,3,Summer,No,Summer
20240711,193,7/11/2024,11,7,July,2024,3,Summer,No,Summer
20240712,194,7/12/2024,12,7,July,2024,3,Summer,No,Summer
20240713,195,7/13/2024,13,7,July,2024,3,Summer,Yes,Summer
20240714,196,7/14/2024,14,7,July,2024,3,Summer,Yes,Summer
20240715,197,7/15/2024,15,7,July,2024,3,Summer,No,Summer
20240716,198,7/16/2024,16,7,July,2024,3,Summer,No,Summer
20240717,199,7/17/2024,17,7,July,2024,3,Summer,No,Summer
20240718,200,7/18/2024,18,7,July,2024,3,Summer,No,Summer
20240719,201,7/19/2024,19,7,July,2024,3,Summer,No,Summer
20240720,202,7/20/2024,20,7,July,2024,3,Summer,Yes,Summer
20240721,203,7/21/2024,21,7,July,2024,3,Summer,Yes,Summer
20240722,204,7/22/2024,22,7,July,2024,3,Summer,No,Summer
20240723,205,7/23/2024,23,7,July,2024,3,Summer,No,Summer
20240724,206,7/24/2024,24,7,July,2024,3,Summer,No,Summer
20240725,207,7/25/2024,25,7,July,2024,3,Summer,No,Summer
20240726,208,7/26/2024,26,7,July,2024,3,Summer,No,Summer
20240727,209,7/27/2024,27,7,July,2024,3,Summer,Yes,Summer
20240728,210,7/28/2024,28,7,July,2024,3,Summer,Yes,Summer
20240729,211,7/29/2024,29,7,July,2024,3,Summer,No,Summer
20240730,212,7/30/2024,30,7,July,2024,3,Summer,No,Summer
20240731,213,7/31/2024,31,7,July,2024,3,Summer,No,Summer
20240801,214,8/1/2024,1,8,August,2024,3,Summer,No,Summer
20240802,215,8/2/2024,2,8,August,2024,3,Summer,No,Summer
20240803,216,8/3/2024,3,8,August,2024,3,Summer,Yes,Summer
20240804,217,8/4/2024,4,8,August,2024,3,Summer,Yes,Summer
20240805,218,8/5/2024,5,8,August,2024,3,Summer,No,Summer
20240806,219,8/6/2024,6,8,August,2024,3,Summer,No,Summer
20240807,220,8/7/2024,7,8,August,2024,3,Summer,No,Summer
20240808,221,8/8/2024,8,8,August,2024,3,Summer,No,Summer
20240809,222,8/9/2024,9,8,August,2024,3,Summer,No,Summer
20240810,223,8/10/2024,10,8,August,2024,3,Summer,Yes,Summer
20240811,224,8/11/2024,11,8,August,2024,3,Summer,Yes,Summer
20240812,225,8/12/2024,12,8,August,2024,3,Summer,No,Summer
20240813,226,8/13/2024,13,8,August,2024,3,Summer,No,Summer
20240814,227,8/14/2024,14,8,August,2024,3,Summer,No,Summer
20240815,228,8/15/2024,15,8,August,2024,3,Summer,No,Summer
20240816,229,8/16/2024,16,8,August,2024,3,Summer,No,Summer
20240817,230,8/17/2024,17,8,August,2024,3,Summer,Yes,Summer
20240818,231,8/18/2024,18,8,August,2024,3,Summer,Yes,Summer
20240819,232,8/19/2024,19,8,August,2024,3,Summer,No,Summer
20240820,233,8/20/2024,20,8,August,2024,3,Summer,No,Summer
20240821,234,8/21/2024,21,8,August,2024,3,Summer,No,Summer
20240822,235,8/22/2024,22,8,August,2024,3,Summer,No,Summer
20240823,236,8/23/2024,23,8,August,2024,3,Summer,No,Summer
20240824,237,8/24/2024,24,8,August,2024,3,Summer,Yes,Summer
20240825,238,8/25/2024,25,8,August,2024,3,Summer,Yes,Summer
20240826,239,8/26/2024,26,8,August,2024,3,Summer,No,Summer
20240827,240,8/27/2024,27,8,August,2024,3,Summer,No,Summer
20240828,241,8/28/2024,28,8,August,2024,3,Summer,No,Summer
20240829,242,8/29/2024,29,8,August,2024,3,Summer,No,Summer
20240830,243,8/30/2024,30,8,August,2024,3,Summer,No,Summer
20240831,244,8/31/2024,31,8,August,2024,3,Summer,Yes,Summer
20240901,245,9/1/2024,1,9,September,2024,3,Autumn,Yes,Autumn
20240902,246,9/2/2024,2,9,September,2024,3,Autumn,No,Autumn
20240903,247,9/3/2024,3,9,September,2024,3,Autumn,No,Autumn
20240904,248,9/4/2024,4,9,September,2024,3,Autumn,No,Autumn
20240905,249,9/5/2024,5,9,September,2024,3,Autumn,No,Autumn
20240906,250,9/6/2024,6,9,September,2024,3,Autumn,No,Autumn
20240907,251,9/7/2024,7,9,September,2024,3,Autumn,Yes,Autumn
20240908,252,9/8/2024,8,9,September,2024,3,Autumn,Yes,Autumn
20240909,253,9/9/2024,9,9,September,2024,3,Autumn,No,Autumn
20240910,254,9/10/2024,10,9,September,2024,3,Autumn,No,Autumn
20240911,255,9/11/2024,11,9,September,2024,3,Autumn,No,Autumn
20240912,256,9/12/2024,12,9,September,2024,3,Autumn,No,Autumn
20240913,257,9/13/2024,13,9,September,2024,3,Autumn,No,Autumn
20240914,258,9/14/2024,14,9,September,2024,3,Autumn,Yes,Autumn
20240915,259,9/15/2024,15,9,September,2024,3,Autumn,Yes,Autumn
20240916,260,9/16/2024,16,9,September,2024,3,Autumn,No,Autumn
20240917,261,9/17/2024,17,9,September,2024,3,Autumn,No,Autumn
20240918,262,9/18/2024,18,9,September,2024,3,Autumn,No,Autumn
20240919,263,9/19/2024,19,9,September,2024,3,Autumn,No,Autumn
20240920,264,9/20/2024,20,9,September,2024,3,Autumn,No,Autumn
20240921,265,9/21/2024,21,9,September,2024,3,Autumn,Yes,Autumn
20240922,266,9/22/2024,22,9,September,2024,3,Autumn,Yes,Autumn
20240923,267,9/23/2024,23,9,September,2024,3,Autumn,No,Autumn
20240924,268,9/24/2024,24,9,September,2024,3,Autumn,No,Autumn
20240925,269,9/25/2024,25,9,September,2024,3,Autumn,No,Autumn
20240926,270,9/26/2024,26,9,September,2024,3,Autumn,No,Autumn
20240927,271,9/27/2024,27,9,September,2024,3,Autumn,No,Autumn
20240928,272,9/28/2024,28,9,September,2024,3,Autumn,Yes,Autumn
20240929,273,9/29/2024,29,9,September,2024,3,Autumn,Yes,Autumn
20240930,274,9/30/2024,30,9,September,2024,3,Autumn,No,Autumn
20241001,275,10/1/2024,1,10,October,2024,4,Autumn,No,Autumn
20241002,276,10/2/2024,2,10,October,2024,4,Autumn,No,Autumn
20241003,277,10/3/2024,3,10,October,2024,4,Autumn,No,Autumn
20241004,278,10/4/2024,4,10,October,2024,4,Autumn,No,Autumn
20241005,279,10/5/2024,5,10,October,2024,4,Autumn,Yes,Autumn
20241006,280,10/6/2024,6,10,October,2024,4,Autumn,Yes,Autumn
20241007,281,10/7/2024,7,10,October,2024,4,Autumn,No,Autumn
20241008,282,10/8/2024,8,10,October,2024,4,Autumn,No,Autumn
20241009,283,10/9/2024,9,10,October,2024,4,Autumn,No,Autumn
20241010,284,10/10/2024,10,10,October,2024,4,Autumn,No,Autumn
20241011,285,10/11/2024,11,10,October,2024,4,Autumn,No,Autumn
20241012,286,10/12/2024,12,10,October,2024,4,Autumn,Yes,Autumn
20241013,287,10/13/2024,13,10,October,2024,4,Autumn,Yes,Autumn
20241014,288,10/14/2024,14,10,October,2024,4,Autumn,No,Autumn
20241015,289,10/15/2024,15,10,October,2024,4,Autumn,No,Autumn
20241016,290,10/16/2024,16,10,October,2024,4,Autumn,No,Autumn
20241017,291,10/17/2024,17,10,October,2024,4,Autumn,No,Autumn
20241018,292,10/18/2024,18,10,October,2024,4,Autumn,No,Autumn
20241019,293,10/19/2024,19,10,October,2024,4,Autumn,Yes,Autumn
20241020,294,10/20/2024,20,10,October,2024,4,Autumn,Yes,Autumn
20241021,295,10/21/2024,21,10,October,2024,4,Autumn,No,Autumn
20241022,296,10/22/2024,22,10,October,2024,4,Autumn,No,Autumn
20241023,297,10/23/2024,23,10,October,2024,4,Autumn,No,Autumn
20241024,298,10/24/2024,24,10,October,2024,4,Autumn,No,Autumn
20241025,299,10/25/2024,25,10,October,2024,4,Autumn,No,Autumn
20241026,300,10/26/2024,26,10,October,2024,4,Autumn,Yes,Autumn
20241027,301,10/27/2024,27,10,October,2024,4,Autumn,Yes,Autumn
20241028,302,10/28/2024,28,10,October,2024,4,Autumn,No,Autumn
20241029,303,10/29/2024,29,10,October,2024,4,Autumn,No,Autumn
20241030,304,10/30/2024,30,10,October,2024,4,Autumn,No,Autumn
20241031,305,10/31/2024,31,10,October,2024,4,Autumn,No,Autumn
20241101,306,11/1/2024,1,11,November,2024,4,Autumn,No,Autumn
20241102,307,11/2/2024,2,11,November,2024,4,Autumn,Yes,Autumn
20241103,308,11/3/2024,3,11,November,2024,4,Autumn,Yes,Autumn
20241104,309,11/4/2024,4,11,November,2024,4,Autumn,No,Autumn
20241105,310,11/5/2024,5,11,November,2024,4,Autumn,No,Autumn
20241106,311,11/6/2024,6,11,November,2024,4,Autumn,No,Autumn
20241107,312,11/7/2024,7,11,November,2024,4,Autumn,No,Autumn
20241108,313,11/8/2024,8,11,November,2024,4,Autumn,No,Autumn
20241109,314,11/9/2024,9,11,November,2024,4,Autumn,Yes,Autumn
20241110,315,11/10/2024,10,11,November,2024,4,Autumn,Yes,Autumn
20241111,316,11/11/2024,11,11,November,2024,4,Autumn,No,Autumn
20241112,317,11/12/2024,12,11,November,2024,4,Autumn,No,Autumn
20241113,318,11/13/2024,13,11,November,2024,4,Autumn,No,Autumn
20241114,319,11/14/2024,14,11,November,2024,4,Autumn,No,Autumn
20241115,320,11/15/2024,15,11,November,2024,4,Autumn,No,Autumn
20241116,321,11/16/2024,16,11,November,2024,4,Autumn,Yes,Autumn
20241117,322,11/17/2024,17,11,November,2024,4,Autumn,Yes,Autumn
20241118,323,11/18/2024,18,11,November,2024,4,Autumn,No,Autumn
20241119,324,11/19/2024,19,11,November,2024,4,Autumn,No,Autumn
20241120,325,11/20/2024,20,11,November,2024,4,Autumn,No,Autumn
20241121,326,11/21/2024,21,11,November,2024,4,Autumn,No,Autumn
20241122,327,11/22/2024,22,11,November,2024,4,Autumn,No,Autumn
20241123,328,11/23/2024,23,11,November,2024,4,Autumn,Yes,Autumn
20241124,329,11/24/2024,24,11,November,2024,4,Autumn,Yes,Autumn
20241125,330,11/25/2024,25,11,November,2024,4,Autumn,No,Autumn
20241126,331,11/26/2024,26,11,November,2024,4,Autumn,No,Autumn
20241127,332,11/27/2024,27,11,November,2024,4,Autumn,No,Autumn
20241128,333,11/28/2024,28,11,November,2024,4,Autumn,No,Autumn
20241129,334,11/29/2024,29,11,November,2024,4,Autumn,No,Autumn
20241130,335,11/30/2024,30,11,November,2024,4,Autumn,Yes,Autumn
20241201,336,12/1/2024,1,12,December,2024,4,Winter,Yes,Winter
20241202,337,12/2/2024,2,12,December,2024,4,Winter,No,Winter
20241203,338,12/3/2024,3,12,December,2024,4,Winter,No,Winter
20241204,339,12/4/2024,4,12,December,2024,4,Winter,No,Winter
20241205,340,12/5/2024,5,12,December,2024,4,Winter,No,Winter
20241206,341,12/6/2024,6,12,December,2024,4,Winter,No,Winter
20241207,342,12/7/2024,7,12,December,2024,4,Winter,Yes,Winter
20241208,343,12/8/2024,8,12,December,2024,4,Winter,Yes,Winter
20241209,344,12/9/2024,9,12,December,2024,4,Winter,No,Winter
20241210,345,12/10/2024,10,12,December,2024,4,Winter,No,Winter
20241211,346,12/11/2024,11,12,December,2024,4,Winter,No,Winter
20241212,347,12/12/2024,12,12,December,2024,4,Winter,No,Winter
20241213,348,12/13/2024,13,12,December,2024,4,Winter,No,Winter
20241214,349,12/14/2024,14,12,December,2024,4,Winter,Yes,Winter
20241215,350,12/15/2024,15,12,December,2024,4,Winter,Yes,Winter
20241216,351,12/16/2024,16,12,December,2024,4,Winter,No,Winter
20241217,352,12/17/2024,17,12,December,2024,4,Winter,No,Winter
20241218,353,12/18/2024,18,12,December,2024,4,Winter,No,Winter
20241219,354,12/19/2024,19,12,December,2024,4,Winter,No,Winter
20241220,355,12/20/2024,20,12,December,2024,4,Winter,No,Winter
20241221,356,12/21/2024,21,12,December,2024,4,Winter,Yes,Winter
20241222,357,12/22/2024,22,12,December,2024,4,Winter,Yes,Winter
20241223,358,12/23/2024,23,12,December,2024,4,Winter,No,Winter
20241224,359,12/24/2024,24,12,December,2024,4,Winter,No,Winter
20241225,360,12/25/2024,25,12,December,2024,4,Winter,No,Winter
20241226,361,12/26/2024,26,12,December,2024,4,Winter,No,Winter
20241227,362,12/27/2024,27,12,December,2024,4,Winter,No,Winter
20241228,363,12/28/2024,28,12,December,2024,4,Winter,Yes,Winter
20241229,364,12/29/2024,29,12,December,2024,4,Winter,Yes,Winter
20241230,365,12/30/2024,30,12,December,2024,4,Winter,No,Winter
20241231,366,12/31/2024,31,12,December,2024,4,Winter,No,Winter
20241232,367,1/1/2025,1,1,January,2025,1,Winter,,
20241233,368,1/2/2025,2,1,January,2025,1,Winter,,
20241234,369,1/3/2025,3,1,January,2025,1,Winter,,
20241235,370,1/4/2025,4,1,January,2025,1,Winter,,
20241236,371,1/5/2025,5,1,January,2025,1,Winter,,
20241237,372,1/6/2025,6,1,January,2025,1,Winter,,
20241238,373,1/7/2025,7,1,January,2025,1,Winter,,
20241239,374,1/8/2025,8,1,January,2025,1,Winter,,
20241240,375,1/9/2025,9,1,January,2025,1,Winter,,
20241241,376,1/10/2025,10,1,January,2025,1,Winter,,
20241242,377,1/11/2025,11,1,January,2025,1,Winter,,
20241243,378,1/12/2025,12,1,January,2025,1,Winter,,
20241244,379,1/13/2025,13,1,January,2025,1,Winter,,
20241245,380,1/14/2025,14,1,January,2025,1,Winter,,
20241246,381,1/15/2025,15,1,January,2025,1,Winter,,
20241247,382,1/16/2025,16,1,January,2025,1,Winter,,
20241248,383,1/17/2025,17,1,January,2025,1,Winter,,
20241249,384,1/18/2025,18,1,January,2025,1,Winter,,
20241250,385,1/19/2025,19,1,January,2025,1,Winter,,
20241251,386,1/20/2025,20,1,January,2025,1,Winter,,
20241252,387,1/21/2025,21,1,January,2025,1,Winter,,
20241253,388,1/22/2025,22,1,January,2025,1,Winter,,
20241254,389,1/23/2025,23,1,January,2025,1,Winter,,
20241255,390,1/24/2025,24,1,January,2025,1,Winter,,
20241256,391,1/25/2025,25,1,January,2025,1,Winter,,
20241257,392,1/26/2025,26,1,January,2025,1,Winter,,
20241258,393,1/27/2025,27,1,January,2025,1,Winter,,
20241259,394,1/28/2025,28,1,January,2025,1,Winter,,
20241260,395,1/29/2025,29,1,January,2025,1,Winter,,
20241261,396,1/30/2025,30,1,January,2025,1,Winter,,
20241262,397,1/31/2025,31,1,January,2025,1,Winter,,
20241263,398,2/1/2025,1,2,February,2025,1,Winter,,
20241264,399,2/2/2025,2,2,February,2025,1,Winter,,
20241265,400,2/3/2025,3,2,February,2025,1,Winter,,
20241266,401,2/4/2025,4,2,February,2025,1,Winter,,
20241267,402,2/5/2025,5,2,February,2025,1,Winter,,
20241268,403,2/6/2025,6,2,February,2025,1,Winter,,
