Geograophy_SK,country,city,postal code
219,Greece,Vasilik??n,
220,Costa Rica,Gu?≠piles,70201
221,United States,Austin,78715
222,China,Changbai,
223,Indonesia,Sukarame,
224,China,Shangzhuang,
225,Indonesia,Wasior,
226,Russia,Dyurtyuli,452320
227,United States,Reno,89510
228,France,Paris 12,75604 CEDEX 12
229,Portugal,Outeiro,4540-379
230,Argentina,El Colorado,4618
231,France,Avignon,84902 CEDEX 9
232,Bosnia and Herzegovina,Mionica,
233,Russia,Mayrtup,366319
234,United States,Corpus Christi,78405
235,Kyrgyzstan,Cholpon-Ata,
236,Japan,Hèçfu,747-1111
237,China,Foluo,
238,Thailand,Khlong Luang,12120
239,Poland,Wr??blew,98-285
240,Colombia,La Jagua de Ibirico,203027
241,Czech Republic,Mé?cholupy,439 31
242,Israel,Kefar Tavor,
243,United States,Bloomington,47405
244,Mexico,Morelos,71142
245,Philippines,San Jose,8427
246,France,Neuilly-sur-Marne,93335 CEDEX
247,China,Yanmenkou,
248,Thailand,Kalasin,46000
249,Sweden,??ngelholm,262 92
250,Palau,Sonsorol Village,
251,Uganda,Wakiso,
252,Portugal,Vale de Vila,5130-472
253,Russia,Voyskovitsy,188360
254,Philippines,Mat-i,9024
255,France,Paris 08,75396 CEDEX 08
256,China,Gezan,
257,Brazil,Feij??,69960-000
258,Peru,Tambo Grande,
259,Macedonia,Debar,1250
260,Brazil,Mirador,87840-000
261,Azerbaijan,Sabirabad,
262,Yemen,Al †??azm,
263,Mexico,Lazaro Cardenas,27944
264,Iran,Jam,
265,Poland,Ciechanowiec,18-230
266,Mexico,San Agustin,29480
267,China,Linxi,
268,Russia,Sovetskiy,628240
269,China,Madang,
270,Armenia,KhoronkÉ??,
271,Ukraine,Kvasy,
272,China,Tongmuluo,
273,Argentina,Chajar??,3228
274,Indonesia,Rancaseneng,
275,Sweden,Sundsvall,851 72
276,Pakistan,Amirabad,22761
277,Canada,Nackawic,E6G
278,China,Dejilin,
279,Vietnam,U Minh,
280,Tanzania,Mikumi,
281,China,Xiangcunxiang,
282,Portugal,Lagoa??a,5180-205
283,China,Chengji,
284,France,Rez??,44409 CEDEX
285,United States,Charlotte,28235
286,China,Yengiawat,
287,Cuba,Centro Habana,
288,China,Yangsha,
289,China,Huangbei,
290,Indonesia,Karobokan,
291,Nigeria,Funtua,
292,Nigeria,Oguma,
293,Indonesia,Tanahmerah,
294,Russia,Urukh,361366
295,Russia,Nauchnyy Gorodok,656910
296,Honduras,Nueva Ocotepeque,
297,New Zealand,Ngaruawahia,3742
298,China,Boketu,
299,Latvia,SméÅrde,
300,Chile,Santa Cruz,
301,Ukraine,Berestechko,
302,Bahamas,Nassau,
303,Yemen,Al Tu†??aytéÅÉ??,
304,Philippines,Cayungnan,2408
305,Russia,Leninsk,456384
306,Ukraine,Pniv,
307,China,Tianyi,
308,Malaysia,Petaling Jaya,46781
309,United Kingdom,Aston,TF6
310,Philippines,Camindangan,7015
311,Indonesia,Made,
312,Poland,Podedw??rze,21-222
313,Poland,Bodzan??w,09-470
314,Ukraine,Lypova Dolyna,
315,China,Nandu,
316,Thailand,Ban Na Muang,71150
317,China,Baoli,
318,Indonesia,Kalimeneng,
319,Tanzania,Konde,
320,Philippines,Bintawan,3605
321,Indonesia,Banjar Paangkelod,
322,Nigeria,Agenebode,
323,China,Donggu,
324,Panama,Plaza de Cais?≠n,
325,Czech Republic,Buè≠té?hrad,273 43
326,Lithuania,Utena,28001
327,Portugal,Casal do Relvas,2440-341
328,Poland,Brodnica,87-302
329,Brazil,Eus??bio,61760-000
330,Haiti,Chantal,
331,Philippines,Zamboanga,7000
332,Bangladesh,BariséÅl,8206
333,Philippines,Rimpeso,0550
334,Indonesia,Sukamaju,
335,Cuba,Madruga,
336,Philippines,Bulog,2419
337,Paraguay,Villa Hayes,
338,Sweden,Enk??ping,745 38
339,France,Poitiers,86062 CEDEX 9
340,Greece,G??mfoi,
341,Russia,Volot,175100
342,Indonesia,Ntobo,
343,Sweden,Kista,164 35
344,Indonesia,Susunan,
345,Saint Pierre and Miquelon,Saint-Pierre,97500
346,South Africa,Richards Bay,3904
347,Portugal,Porto Alto,2135-027
348,China,Liuxia,
349,Russia,Chesma,457229
350,China,Zhangjiafan,
351,Portugal,Souto,4750-419
352,Sweden,G??teborg,417 43
353,Mexico,Independencia,89759
354,China,Huangzhai,
355,Brazil,Cabrob??,56180-000
356,Poland,èÅé?cko,33-390
357,Thailand,Lap Lae,65160
358,Grenada,Victoria,
359,Indonesia,Plandi,
360,Ireland,Malahide,K36
361,China,Dongxin,
362,China,Lieyu,
363,China,Hecun,
364,Republic of the Congo,Makoua,
365,Nigeria,Maiyema,
366,Slovenia,èˇkofljica,1291
367,Armenia,Drakhtik,
368,Czech Republic,Rokytnice,755 01
369,Indonesia,Kuanfeu,
370,Indonesia,Sungailiat,
371,Indonesia,Pajeksan,
372,Yemen,Dhalie,
373,China,Hufang,
374,Argentina,Villa Lugano,5439
375,China,Canghou,
376,Brazil,S?úo Jos?? dos Campos,12200-000
377,Poland,Nowosielce-Gniewosz,38-507
378,Kazakhstan,Sorang,
379,China,Biaokou,
380,United States,Odessa,79764
381,Netherlands,Zaandam,1504
382,Bolivia,Tarata,
383,France,Vienne,38219 CEDEX
384,China,Qianpai,
385,Brazil,Cust??dia,56640-000
386,Mongolia,Bulgan,
387,Swaziland,Mhlume,
388,China,Hongyanxi,
389,Luxembourg,Biwer,L-6834
390,Portugal,Rio,4615-424
391,Mozambique,Nacala,
392,Philippines,Pe?Òa,5404
393,Vietnam,K Bang,
394,China,Longcheng,
395,Brazil,Panambi,98280-000
396,Russia,NazranÉ??,386150
397,China,Lingda,
398,Indonesia,Kesugihan,
399,Finland,Paltamo,88300
400,Malaysia,Petaling Jaya,46801
401,Saudi Arabia,Al Jubayl,
402,Kazakhstan,Kapshagay,
403,China,Maliang,
404,China,Zhagang,
405,Colombia,Ciudad Bol??var,056468
406,Philippines,Margos,1217
407,Argentina,R??o Pico,9225
408,Philippines,San Antonio,6407
409,Malaysia,Kota Kinabalu,88872
410,Slovenia,Dobje pri Planini,3224
411,Indonesia,Kalepasan,
412,Portugal,Ferraria,2445-079
413,Argentina,Maip?ß,5517
414,Peru,Cachachi,
415,United States,Schaumburg,60193
416,Poland,Paradyè¨,26-333
417,China,Yangzhuang,
418,Philippines,Paluan,5107
419,Brazil,Pirassununga,13630-000
420,China,Zhaocun,
421,China,Loujiadian,
422,Haiti,Cerca la Source,
423,Philippines,Monkayo,8111
424,Bangladesh,Baniachang,3350
425,China,Xiaojiangba,
426,Colombia,Santa Marta,470017
427,Mexico,Lazaro Cardenas,63807
428,Czech Republic,Tè?eè≠èù,589 01
429,China,Laidian,
430,Croatia,Velika,34330
431,Indonesia,Rawaapu,
432,Sweden,Uppsala,751 71
433,Costa Rica,San Isidro,12004
434,Panama,Yaviza,
435,Mexico,Las Americas,38835
436,China,Jinta,
437,Indonesia,Terara,
438,China,Wanying,
439,Albania,Grekan,
440,United States,Minneapolis,55470
441,Laos,Ban Houayxay,
442,Ukraine,Korotych,
443,China,Donghui,
444,Indonesia,Parumasan,
445,Latvia,Naukè≠é?ni,
446,China,Kuzhu,
447,Portugal,Grij??,4415-400
448,Pakistan,HadéÅli,51801
449,Argentina,28 de Noviembre,9407
450,Indonesia,Krajan Timur Mlokorejo,
451,Mongolia,Choibalsan,
452,Sweden,V??ster?ùs,721 27
453,Finland,Muurame,40951
454,Lithuania,Birè≠tonas,59009
455,Cambodia,Sihanoukville,
456,Czech Republic,M?´to,347 01
457,Poland,Gryb??w,33-330
458,Portugal,S?úo Domingos,4620-787
459,Kazakhstan,Fedorovka,
460,Poland,Cisiec,34-383
461,Indonesia,Bagangan,
462,Chad,Bitkine,
463,Nigeria,Iperu,
464,Dominican Republic,Hostos,11403
465,Ukraine,Mykolayiv,
466,Czech Republic,Pè?edkl?≠è≠teè???,666 02
467,Thailand,Det Udom,34160
468,North Korea,Najin,
469,Japan,Tatebayashi,374-0079
470,Brazil,Governador Valadares,35000-000
471,Colombia,Cartagena,130027
472,Spain,Murcia,30010
473,Portugal,Costa Nova do Prado,3830-455
474,Myanmar,Pyay,
475,Kosovo,Klokot,
476,Brazil,A??ucena,35150-000
477,Indonesia,Nanganumba,
478,Netherlands,Leiden,2304
479,Portugal,Quint?ú,4620-729
480,Russia,Asino,636845
481,Hungary,??rd,2035
482,China,Macheng,
483,Sweden,Bj??rred,237 24
484,China,Xiahan,
485,China,Taishihe,
486,Honduras,Bel??n Gualcho,
487,Kazakhstan,Ust-Kamenogorsk,
488,France,Le Mans,72052 CEDEX 2
489,Sweden,Stockholm,118 20
490,Philippines,Calabugao,2721
491,Finland,Kimito,11710
492,Indonesia,Ntobo,
493,Kyrgyzstan,Ivanovo-Alekseyevka,
494,Poland,Kurzé?tnik,13-306
495,Peru,Llipa,
496,Indonesia,Binawara,
497,Indonesia,Cimahi,
498,Finland,Joutsa,19651
499,Russia,Protvino,142281
500,Vietnam,Tha?únh Ho?Åa,
501,Iran,Jahrom,
502,Slovenia,Bistrica pri Trè?iéçu,4290
503,Pakistan,Uthal,90150
504,Japan,è?kawara,989-1323
505,United States,Miami,33190
506,Ireland,Carrigtwohill,P24
507,United States,Fort Myers,33994
508,China,Xunjian,
509,Indonesia,Waru,
510,Indonesia,Seulimeum,
511,Indonesia,Wangkung,
512,China,Yantian,
513,Brazil,Laguna,88790-000
514,Poland,Stare Pole,82-220
515,Bolivia,San Ignacio de Velasco,
516,Bolivia,Santiago del Torno,
517,Israel,É??Akko,
518,Iceland,Borgarnes,311
519,Indonesia,Rancakuya,
520,South Korea,Moppo,
521,China,Chengxiang,
522,Indonesia,Carenang Lor,
523,Portugal,Souto do Meio,2420-144
524,Portugal,Vila Flor,5360-305
525,Cyprus,Meneou,
526,United States,Fort Wayne,46896
527,Argentina,El Soberbio,3364
528,China,Leiyang,
529,Togo,Atakpam??,
530,Peru,Taurija,
531,Indonesia,Karang,
532,Portugal,Ourent?ú,3060-445
533,Cuba,Cruces,
534,Russia,Olenegorsk,303622
535,Brazil,Itapetininga,18200-000
536,Honduras,Nombre de Jes?ßs,
537,Poland,èØyrak??w,39-204
538,Brazil,Ner??polis,75460-000
539,China,Luoyuan,
540,Uruguay,Mariscala,
541,Peru,Angasmarca,
542,Sweden,Osby,283 45
543,Brazil,Formiga,35570-000
544,Guatemala,San Antonio Ilotenango,14008
545,Indonesia,Bunutan,
546,China,Xiaozhoushan,
547,Indonesia,Watulabara,
548,Dominican Republic,Crist??bal,11509
549,Russia,Dostoyevka,649779
550,Philippines,Pulupandan,6102
551,China,Zhonggang,
552,Portugal,Erada,6215-205
553,Brazil,Vacaria,95200-000
554,Macedonia,Jankovec,7320
555,Azerbaijan,??alxanqala,
556,France,Le Teil,07404 CEDEX
557,Argentina,Saladas,3420
558,Albania,Fush?Æ-Bulqiz?Æ,
559,Indonesia,Hepang,
560,Hungary,Miskolc,3515
561,Poland,Rybie,05-850
562,China,Jincun,
563,United States,Colorado Springs,80930
564,China,ShajiaÉ??ao,
565,Philippines,Tigbao,7043
566,Palestinian Territory,MardéÅ,
567,Vietnam,Th†Ø? Tr†ßùn Na S†ß?m,
568,Albania,Burrel,
569,China,Lubei,
570,Yemen,Zakhim,
571,China,Zhayang,
572,Argentina,Brea Pozo,4313
573,Democratic Republic of the Congo,Nioki,
574,Costa Rica,Patarr?≠,10307
575,Philippines,Alcantara,5509
576,China,Huangyang,
577,Philippines,La Curva,1235
578,Indonesia,Warugunung,
579,France,Aubenas,07204 CEDEX
580,Ukraine,Snizhne,
581,Indonesia,Bangbayang,
582,Kazakhstan,Myrzakent,
583,Portugal,Engenho,4620-207
584,China,Xiadahe,
585,China,Zhongxin,
586,Sri Lanka,Weligama,81700
587,El Salvador,Lolotique,
588,China,Yangchun,
589,China,Xingxi,
590,Guatemala,San Crist??bal Totonicap?≠n,08002
591,China,Caijiapu,
592,Portugal,Urr??,4560-832
593,China,Xincheng,
594,Mongolia,Chonogol,
595,Sweden,G??teborg,415 17
596,Russia,Konstantinovskoye,356500
597,China,Oujiangcha,
598,Colombia,Gachancip?≠,251017
599,Serbia,Jaè≠a Tomié?,
600,Greece,Psachn?≠,
601,China,Huizhai,
602,Ukraine,Yabluniv,
603,Armenia,Kamaris,
604,China,NiÉ??ao,
605,Ukraine,Kaniv,
606,Norway,Kristiansand S,4671
607,China,Huilong,
608,Ethiopia,MetahéÅra,
609,Vietnam,Di?¶n Kh?≠nh,
610,Brazil,S?úo Jer??nimo,96700-000
611,Brazil,Bu??que,56520-000
612,China,Longshan,
613,Portugal,Ermelo,4880-128
614,Madagascar,Ambovombe,
615,Nigeria,Yashikera,
616,Albania,Konispol,
617,Argentina,Tama,5385
618,Sudan,Port Sudan,
619,Philippines,Mantalongon,5608
620,Sweden,J??nk??ping,556 31
621,China,Mingguang,
622,Portugal,Porto Alto,2135-027
623,China,Zigong,
624,China,Yonglong,
625,Belarus,Klichaw,
626,Argentina,Saladas,3420
627,Pakistan,Fort AbbéÅs,62021
628,France,Wissous,91324 CEDEX
629,China,Zaolin,
630,Poland,Ké?ty,32-653
631,Czech Republic,Star?? Kè?eéçany,407 61
632,France,Montceau-les-Mines,71309 CEDEX
633,Pakistan,Dhanot,42001
634,Philippines,Teresa,1880
635,Niger,Maradi,
636,Russia,Petrodvorets,462823
637,Japan,Ikedachèç,779-5166
638,Canada,Crossfield,B0N
639,Japan,Kushima,959-4501
640,Vietnam,Th†Ø? Tr†ßùn Nho Quan,
641,Philippines,Maco,8114
642,Czech Republic,Hoè?ice,678 01
643,Sweden,Stockholm,114 89
644,Brazil,Farroupilha,95180-000
645,United States,Saint Petersburg,33715
646,Portugal,Parreira,2140-514
647,Yemen,é?l MaÉ??èÆdah,
648,China,Shuangshan,
649,Ecuador,El ?Ångel,
650,Mexico,Revolucion,93610
651,Norway,Steinkjer,7705
652,France,Douarnenez,29174 CEDEX
653,Marshall Islands,Mili,96970
654,Ukraine,Zdolbuniv,
655,Indonesia,Wolofeo,
656,Poland,Dobra,72-210
657,United States,Charlotte,28235
658,Indonesia,Kampungtengah,
659,Iran,EyvéÅn,
660,Japan,Fujioka,999-7638
661,Yemen,Judaydah,
662,Finland,Kirkkonummi,02480
663,Slovenia,Hrastnik,1430
664,Japan,Noda,999-3775
665,Thailand,Raman,95140
666,Ivory Coast,Tengrela,
667,Brazil,Rio Formoso,55570-000
668,Albania,Cerava,
669,Philippines,Pitogo,7033
670,China,Qingqu,
671,Colombia,Sabaneta,055457
672,Poland,Buk,64-320
673,Poland,Chyè¨ne,02-983
674,Luxembourg,Walferdange,L-7274
675,China,Yangping,
676,Colombia,Ci??naga,478008
677,Madagascar,Vohipaho,
678,Indonesia,Pantai Ceuremen,
679,China,Jiajiaying,
680,Russia,Talashkino,214512
681,Argentina,Basail,3516
682,Russia,Rettikhovka,692393
683,China,Yangjiaqiao,
684,Philippines,Andalan,2305
685,Philippines,Pata,7405
686,Kazakhstan,Shalkar,
687,Peru,Macari,
688,Czech Republic,N?´dek,739 95
689,Russia,Pionerskiy,628250
690,Guinea-Bissau,Bafat?≠,
691,Sweden,Hudiksvall,824 26
692,Argentina,La Rioja,5300
693,Haiti,Jeremi,
694,Morocco,T??touan,
695,Ukraine,Okhtyrka,
696,Philippines,Bigaa,3016
697,Botswana,Kopong,
698,Poland,Przywidz,83-047
699,Philippines,Siruma,4427
700,Russia,Polazna,618703
701,China,Zhangdian,
702,China,Houping,
703,Colombia,Ci??naga,478008
704,Indonesia,Lasusua,
705,United States,El Paso,88553
706,China,Xixiang,
707,Philippines,Bilao,5806
708,Nauru,Anibare,
709,Russia,?≠?Ê?˝?Ê•????¨??•?•Å?ß-3,184606
710,Bangladesh,SandwéÆp,4302
711,Thailand,Chulabhorn,58120
712,Indonesia,Wanga,
713,Poland,Wojcieszk??w,21-411
714,Argentina,Tres Arroyos,2445
715,Indonesia,Padamulya,
716,China,Xuedian,
717,Sudan,Al Qadarif,
718,Qatar,Ash Sha†??éÅnéÆyah,
719,Indonesia,Sulitair,
720,Peru,Haquira,
721,China,Xiluodu,
722,Poland,Kramarz??wka,37-560
723,Cameroon,Buea,
724,Indonesia,Cukangpanjang,
725,Poland,Suraè¨,18-105
726,Slovenia,Hrib-Loè≠ki Potok,2390
727,China,Jintian,
728,Germany,Leipzig,04288
729,Portugal,Vila Ch?ú,3505-209
730,United States,Anchorage,99599
731,France,Le Blanc-Mesnil,93591 CEDEX
732,China,Guantun,
733,Canada,Olds,T4H
734,France,Marne-la-Vall??e,77427 CEDEX 2
735,Benin,Kandi,
736,Russia,Reshetnikovo,141667
737,China,Shinan,
738,Namibia,Maltah??he,
739,Mali,Dioila,
740,Ireland,Ratoath,A85
741,Indonesia,Riang Tengah,
742,Brazil,Cruz Alta,98000-000
743,Russia,Vilya,607040
744,Syria,QadséÆyéÅ,
745,China,Xilian,
746,Canada,Lanigan,J7A
747,China,Daxin,
748,Argentina,Guatrach??,6311
749,Jordan,Al Kittah,
750,Portugal,Lamas,4830-411
751,Namibia,Khorixas,
752,Nigeria,Gandi,
753,Czech Republic,Nov?´ Kn??n,262 03
754,Philippines,Jetafe,6334
755,Honduras,El Suyatal,
756,Albania,Burrel,
757,Zambia,Lusaka,
758,Ukraine,Kiev,
759,Ivory Coast,Soubr??,
760,China,Jingkou,
761,Netherlands,Eindhoven,5629
762,Vietnam,H?ˇ éê??ng,
763,Guadeloupe,Les Abymes,97182 CEDEX
764,Japan,Sakata,979-1504
765,Sweden,Str??msund,833 24
766,Russia,Novaya Mayna,433568
767,Philippines,Masaling,1141
768,Pakistan,Karaundi,30001
769,China,Jinjiang,
770,China,Zaindainxoi,
771,Afghanistan,BaghléÅn,
772,Russia,TekstilÉ??shchiki,678126
773,Bosnia and Herzegovina,Bosanski èˇamac,
774,Russia,Tugulym,623650
775,China,Xishiqiao,
776,Japan,Shizukuishi,680-1166
777,China,Qinglin,
778,France,Lyon,69395 CEDEX 03
779,United States,Boynton Beach,33436
780,Guatemala,Santa Cruz Mulu?≠,11006
781,Indonesia,Cibunar,
782,Poland,Nowe Warpno,72-022
783,Portugal,S?úo Mamede,3700-585
784,China,Lieyu,
785,Poland,Sypniewo,06-216
786,China,Huolianpo,
787,Bosnia and Herzegovina,Zboriè≠te,
788,Czech Republic,Vladislav,675 01
789,Brazil,Santa Quit??ria do Maranh?úo,65540-000
790,Latvia,Ainaè?i,
791,United States,Milwaukee,53277
792,Indonesia,Sukadana,
793,Vietnam,T?õy éê†ßÒng,
794,Brazil,Nova Ol??mpia,87490-000
795,China,Gulong,
796,China,Nanmu,
797,Latvia,Valka,
798,Mongolia,Naran-mandokhu Somon,
799,China,Taibai,
800,Nigeria,Bornu Yassu,
801,China,Zhenjiang,
802,Finland,Kaustinen,69601
803,Serbia,Banovo Polje,
804,South Korea,Kang-neung,
805,Malaysia,Kuala Terengganu,20916
806,Ireland,Bailieborough,C15
807,Iran,KéÅmyéÅréÅn,
808,Russia,Kineshma,102257
809,Argentina,Albard??n,5419
810,Czech Republic,Nezvé?stice,332 04
811,Thailand,Chiang Mai,50000
812,Indonesia,Poteran,
813,Malawi,Mangochi,
814,China,Nanyang,
815,Greece,Vlych?≠da,
816,Cyprus,Leon?≠risso,
817,China,Yushan,
818,Armenia,Tsaghkahovit,
819,Brazil,Aquidauana,79200-000
820,Canada,Sicamous,G2L
821,China,Sunjia Buzi,
822,China,Qianjin,
823,Poland,Sé?popol,11-210
824,Russia,Kropotkin,361012
825,Colombia,Cartago,762027
826,Portugal,Corredoura,2970-079
827,Norway,Fredrikstad,1616
828,Russia,Segezha,186424
829,Greece,Sourot??,
830,Estonia,V?Êhma,
831,Pakistan,KohéÅt,26301
832,United States,Buffalo,14205
833,Philippines,Danao,6344
834,Czech Republic,Nov?≠ Cerekev,394 15
835,France,Saint-Quentin-en-Yvelines,78181 CEDEX
836,United States,Hamilton,45020
837,China,Bishan,
838,China,Lingkou,
839,Palestinian Territory,WéÅdéÆ as SalqéÅ,
840,China,Jilin,
841,Indonesia,Kawangu Satu,
842,China,Chengbei,
843,Indonesia,Nglengkong,
844,China,Shiwan,
845,Ecuador,Manta,
846,Pakistan,ChakwéÅl,24421
847,Malawi,Liwonde,
848,Indonesia,Bantal,
849,Ecuador,Puerto Francisco de Orellana,
850,China,Nanzamu,
851,Morocco,Tabia,
852,Iraq,RéÅwandèÆz,
853,Dominican Republic,Sabana Grande de Boy?≠,10136
854,El Salvador,Antiguo Cuscatl?≠n,
855,Indonesia,Purabaya,
856,Ukraine,Orikhiv,
857,Norway,Oslo,0376
858,New Zealand,Otorohanga,3940
859,Portugal,Ladoeiro,6060-205
